filename;divider;enhancer;lowbandCompressor;lowbandImpulseNumber;lowbandSeparateExcitation;highbandCompressor;highbandImpulseNumber;highbandSeparateExcitation;PEAQ;PESQ
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;4;SepExc;-3.5456664140418673;2.689
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;8;SepExc;-3.4150571349743798;2.715
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;16;SepExc;-3.2958961689800202;2.741
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;32;SepExc;-3.2008030859365647;2.753
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;4;;-3.521427146685898;2.686
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;8;;-3.4247695099655267;2.716
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;16;;-3.3423324696679325;2.736
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;G7231Compressor;32;;-3.3187519959911628;2.742
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;SepExc;DummyCompressor;;;-3.146952106586456;2.755
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;4;SepExc;-3.414808406635582;3.249
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;8;SepExc;-3.0752414128714944;3.289
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;16;SepExc;-2.7212920710708874;3.317
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;32;SepExc;-2.4208161148080247;3.333
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;4;;-3.3671096501573854;3.255
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;8;;-3.1411966060315732;3.288
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;16;;-2.9067368831101508;3.311
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;G7231Compressor;32;;-2.837070863431179;3.319
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;SepExc;DummyCompressor;;;-2.2432911635378088;3.335
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;4;SepExc;-3.0778650683917803;3.850
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;8;SepExc;-2.503187959836216;3.900
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;16;SepExc;-1.9812275151915573;3.933
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;32;SepExc;-1.508242334178862;3.947
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;4;;-3.009008599541058;3.852
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;8;;-2.6161242477133655;3.894
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;16;;-2.2446668199875974;3.923
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;G7231Compressor;32;;-2.089503018670114;3.932
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;SepExc;DummyCompressor;;;-1.2777694261626853;3.949
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;4;SepExc;-2.674118983337184;4.227
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;8;SepExc;-1.9613801803301452;4.283
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;16;SepExc;-1.3468990183371186;4.310
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;32;SepExc;-0.8638950655474571;4.318
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;4;;-2.612069973050397;4.233
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;8;;-2.113171386148686;4.276
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;16;;-1.659564905181805;4.303
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;G7231Compressor;32;;-1.4955548689268423;4.310
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;SepExc;DummyCompressor;;;-0.6576552046624045;4.319
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;4;SepExc;-3.628920484879477;2.595
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;8;SepExc;-3.4961003157766726;2.619
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;16;SepExc;-3.37485937187763;2.637
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;32;SepExc;-3.285345439379051;2.647
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;4;;-3.60244644738462;2.597
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;8;;-3.5068805807124583;2.618
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;16;;-3.41803471862343;2.632
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;G7231Compressor;32;;-3.40701164531937;2.640
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;4;;DummyCompressor;;;-3.2306098028781243;2.648
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;4;SepExc;-3.496429134418242;3.005
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;8;SepExc;-3.271584023575343;3.036
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;16;SepExc;-3.0392307853008433;3.065
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;32;SepExc;-2.83323113300034;3.080
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;4;;-3.468292809132551;3.006
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;8;;-3.305531363056172;3.035
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;16;;-3.140781670180739;3.058
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;G7231Compressor;32;;-3.105939346422308;3.066
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;8;;DummyCompressor;;;-2.7049465142626397;3.082
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;4;SepExc;-3.306150232638102;3.508
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;8;SepExc;-2.929171596525923;3.549
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;16;SepExc;-2.5687958041496417;3.582
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;32;SepExc;-2.2299519676741433;3.599
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;4;;-3.2698130656917117;3.508
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;8;;-3.0002140379418574;3.550
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;16;;-2.7488428196567085;3.577
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;G7231Compressor;32;;-2.65197267289715;3.588
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;16;;DummyCompressor;;;-2.038026913921736;3.601
parole16.WAVSepExc;QMFDivider;DummyEnhancer;G7231Compressor;32;;G7231Compressor;4;SepExc;-3.279514342604143;3.685
